,read_length_bp,sequences_split_libraries,observations_closed_ref_greengenes,observations_closed_ref_silva,observations_open_ref_greengenes,observations_deblur_90bp
855,100,350820,330690,333444,349728,235181
856,100,319035,297180,297378,317969,214154
857,100,274252,253850,255053,273394,174415
858,100,297257,281037,283570,296652,197528
859,145,66785,57420,58701,66286,40635
860,145,149238,129859,135055,148810,103304
861,145,243064,211995,215240,242006,159074
862,145,109904,84760,88122,107996,62639
863,145,58098,51045,52935,57807,38883
864,145,39231,34808,35172,39148,24385
865,145,57068,51895,53702,56871,37563
866,145,50138,41547,42088,49850,29296
867,145,50763,44018,45685,50399,29662
868,145,819180,657762,672649,814606,539745
869,145,110217,66723,70567,108675,68946
870,145,99508,82235,85551,98923,63924
871,145,497434,439109,473374,496134,363463
872,100,699690,633858,635995,696427,433043
873,100,493029,452178,455534,489994,294629
874,100,389760,346301,355585,387177,221131
875,100,509290,469306,473425,507205,309447
876,100,408313,349340,361796,405469,239128
877,100,408511,380564,382632,406937,248020
878,100,358668,316245,321683,356267,208879
879,100,397070,372666,374726,395632,238217
880,100,452244,401192,403975,448580,259551
881,100,559857,509109,513062,556742,365207
882,100,440951,391304,397958,438547,262541
883,100,579449,467658,523188,575972,332132
884,150,36115,17655,18647,35941,21353
885,150,29230,23974,24679,29070,19047
886,150,42336,27628,29108,41772,25342
887,150,30772,25235,25788,30593,20328
888,150,33191,21466,21597,33118,23738
889,150,27999,19392,19232,27936,19244
890,150,33307,21371,22552,33146,21708
891,150,35732,20937,21742,34493,23567
892,150,94675,70398,76209,94017,59526
893,150,138523,96475,107508,137403,84248
894,150,14629,11565,12882,14563,9577
895,150,26890,20899,22083,26756,18440
896,131,293489,229278,242036,288962,153107
897,131,187306,147807,154244,184596,95716
898,131,260161,206696,216312,256676,137047
899,100,186916,166135,166912,185083,100995
900,100,126681,98675,101565,125407,64828
901,100,180382,170229,171251,178679,94332
902,100,195455,186074,186841,194534,104345
903,100,238010,221118,222874,236287,124219
904,100,179827,169024,170295,178488,92980
905,100,133604,122722,124046,132384,67554
906,100,157853,148063,149060,157113,84266
907,100,32561,29666,29735,32143,18257
908,100,124948,95121,95046,123631,68078
909,100,95776,87611,87960,95842,53438
910,100,191811,173759,175955,189564,97219
911,100,68357,65961,66080,67799,39706
912,100,26631,24210,24263,26856,14818
913,100,104226,89799,90192,102734,53082
914,100,103058,84190,84176,101556,52057
915,100,55044,48450,48728,54335,25893
916,100,85982,49889,50942,85001,31461
917,100,101875,46288,47400,100402,37389
918,100,132854,100746,99863,131392,64198
919,100,48956,36436,36172,48513,23443
920,100,101767,73175,69435,100894,46132
921,100,91095,66517,65965,90387,44342
922,100,76413,54085,52330,75476,34569
923,100,117404,89073,81268,116251,51736
924,100,51458,46231,46439,51050,27775
925,100,38826,36023,35404,38475,20995
926,100,100898,92006,92383,100361,53307
927,100,25850,24518,24700,25604,14040
928,100,77292,71520,71680,76769,41167
929,100,35018,33637,33587,34638,20952
930,100,26917,26275,26195,26838,17240
931,100,120511,81880,76944,119329,50305
932,100,116724,83133,75797,115699,51024
933,100,102265,73470,67749,101647,45423
934,100,37355,35550,35584,37122,22317
935,100,179137,130238,124672,177882,82614
936,100,185577,138889,143314,183803,92924
937,100,57319,50219,50757,57124,31435
